GO_Term,AUROC,From_Level,AUROC_difference,Ones,Zeros,Size,TL,Balance,Ontology,Frozen,LR,Data,Time
GO:0048518,0.5708,3,-0.0426,7586,8160,15746,1,0.9635,bp,0,1.00E-05,Orig,34.5597
GO:0050794,0.6339,3,-0.0814,14598,1148,15746,1,0.1458,bp,0,1.00E-05,Orig,34.5792
GO:0048519,0.6376,3,0.0204,6405,9341,15746,1,0.8135,bp,0,1.00E-05,Orig,102.8364
GO:0048513,0.6594,3,-0.0747,1886,3183,5069,1,0.7441,bp,0,1.00E-05,Orig,20.8736
GO:0043412,0.5541,3,-0.1027,127,974,1101,1,0.2307,bp,0,1.00E-05,Orig,21.7561
GO:0006139,0.4583,3,-0.2554,358,2972,3330,1,0.215,bp,0,1.00E-05,Orig,7.46
GO:0019538,0.5899,3,-0.0915,179,922,1101,1,0.3252,bp,0,1.00E-05,Orig,10.3552
GO:0048522,0.5664,3,-0.1361,2314,2324,4638,1,0.9978,bp,0,1.00E-05,Orig,10.0181
GO:0019222,0.5741,3,-0.0786,1452,878,2330,1,0.7536,bp,0,1.00E-05,Orig,9.4452
GO:0048523,0.5519,3,-0.151,2852,4705,7557,1,0.7548,bp,0,1.00E-05,Orig,15.8576
GO:0007423,0.6076,3,-0.0785,210,2682,2892,1,0.1452,bp,0,1.00E-05,Orig,6.624
GO:0090304,0.6342,3,-0.1039,78,1023,1101,1,0.1417,bp,0,1.00E-05,Orig,11.5057
GO:0036211,0.6857,3,-0.02,81,357,438,1,0.3699,bp,0,1.00E-05,Orig,6.7148
GO:0009893,0.5619,3,-0.1133,145,129,274,1,0.9416,bp,0,1.00E-05,Orig,1.1416
GO:0060255,0.6837,3,-0.0912,454,327,781,1,0.8374,bp,0,1.00E-05,Orig,5.4935
GO:0009892,0.6746,3,-0.054,254,527,781,1,0.6504,bp,0,1.00E-05,Orig,7.4082
GO:0006259,0.6291,3,-0.1067,21,246,267,1,0.1573,bp,0,1.00E-05,Orig,1.1407
GO:0016070,0.6085,3,-0.0861,58,209,267,1,0.4345,bp,0,1.00E-05,Orig,1.5702
GO:0018193,0.6702,3,-0.0902,39,141,180,1,0.4333,bp,0,1.00E-05,Orig,1.3624
GO:0010605,0.5831,3,-0.1597,224,288,512,1,0.875,bp,0,1.00E-05,Orig,7.5048
GO:0006139,0.5666,4,-0.13,356,3976,4332,1,0.1644,bp,0,1.00E-05,Orig,10.9696
GO:0043412,0.6614,4,0.0346,133,1323,1456,1,0.1827,bp,0,1.00E-05,Orig,25.7316
GO:0019538,0.6437,4,0.0303,188,1268,1456,1,0.2582,bp,0,1.00E-05,Orig,4.1569
GO:0048522,0.6017,4,-0.1136,1334,2562,3896,1,0.6848,bp,0,1.00E-05,Orig,12.3873
GO:0019222,0.5927,4,-0.0245,1461,2435,3896,1,0.75,bp,0,1.00E-05,Orig,11.0765
GO:0048523,0.5387,4,-0.1954,2811,4746,7557,1,0.7439,bp,0,1.00E-05,Orig,26.2163
GO:0007423,0.5017,4,-0.1551,207,14382,14589,1,0.0284,bp,0,1.00E-05,Orig,29.9397
GO:0090304,0.6471,4,-0.0666,74,1382,1456,1,0.1016,bp,0,1.00E-05,Orig,6.2348
GO:0036211,0.689,4,0.0076,83,412,495,1,0.3354,bp,0,1.00E-05,Orig,5.2617
GO:0009893,0.6232,4,-0.0793,391,662,1053,1,0.7426,bp,0,1.00E-05,Orig,19.1142
GO:0060255,0.6796,4,0.0269,456,597,1053,1,0.8661,bp,0,1.00E-05,Orig,3.4717
GO:0009892,0.7012,4,-0.0017,251,802,1053,1,0.4767,bp,0,1.00E-05,Orig,6.7613
GO:0006259,0.6529,4,-0.0332,21,246,267,1,0.1573,bp,0,1.00E-05,Orig,1.1308
GO:0016070,0.5991,4,-0.139,57,210,267,1,0.427,bp,0,1.00E-05,Orig,1.798
GO:0018193,0.704,4,-0.0017,36,144,180,1,0.4,bp,0,1.00E-05,Orig,1.6573
GO:0010605,0.6117,4,-0.0635,170,379,549,1,0.6193,bp,0,1.00E-05,Orig,5.4046
GO:0090304,0.7139,5,0.0173,90,1799,1889,1,0.0953,bp,0,1.00E-05,Orig,4.5811
GO:0036211,0.7695,5,0.1427,83,539,622,1,0.2669,bp,0,1.00E-05,Orig,2.0624
GO:0009893,0.7037,5,0.0903,576,1596,2172,1,0.5304,bp,0,1.00E-05,Orig,5.1371
GO:0060255,0.7541,5,0.0388,719,1453,2172,1,0.6621,bp,0,1.00E-05,Orig,5.1618
GO:0009892,0.7351,5,0.1179,370,1802,2172,1,0.3407,bp,0,1.00E-05,Orig,5.8909
GO:0006259,0.7035,5,-0.0306,33,276,309,1,0.2136,bp,0,1.00E-05,Orig,1.2507
GO:0016070,0.6473,5,-0.0095,65,244,309,1,0.4207,bp,0,1.00E-05,Orig,3.5703
GO:0018193,0.7152,5,0.0015,35,189,224,1,0.3125,bp,0,1.00E-05,Orig,0.9585
GO:0010605,0.5792,5,-0.1022,241,602,843,1,0.5718,bp,0,1.00E-05,Orig,13.7754
GO:0006259,0.7372,6,0.0406,1398,6549,7947,1,0.3518,bp,0,1.00E-05,Orig,35.2494
GO:0016070,0.5059,6,-0.1209,2150,5797,7947,1,0.5411,bp,0,1.00E-05,Orig,72.8245
GO:0018193,0.6261,6,0.0127,653,10835,11488,1,0.1137,bp,0,1.00E-05,Orig,73.3672
GO:0010605,0.5444,6,-0.1709,1426,5368,6794,1,0.4198,bp,0,1.00E-05,Orig,25.2684
GO:0008152,0.6327,2,-0.0891,4875,11802,16677,1,0.5846,bp,0,1.00E-06,Orig,85.8138
GO:0050789,0.729,2,0.0434,4582,3453,8035,1,0.8595,bp,0,1.00E-06,Orig,16.8827
GO:0048856,0.6835,2,0.0793,1596,7941,9537,1,0.3347,bp,0,1.00E-06,Orig,25.7135
GO:0043170,0.5935,2,-0.1381,3488,8557,12045,1,0.5792,bp,0,1.00E-06,Orig,24.9697
GO:0044238,0.6451,2,-0.0302,4171,7874,12045,1,0.6926,bp,0,1.00E-06,Orig,25.3644
GO:0048518,0.6435,2,-0.1124,2456,2104,4560,1,0.9228,bp,0,1.00E-06,Orig,44.0706
GO:0050794,0.6876,2,-0.0184,4285,275,4560,1,0.1206,bp,0,1.00E-06,Orig,37.4778
GO:0048519,0.6531,2,-0.0799,2128,2432,4560,1,0.9333,bp,0,1.00E-06,Orig,20.8074
GO:0048513,0.721,2,0.0348,590,1003,1593,1,0.7407,bp,0,1.00E-06,Orig,4.0328
GO:0043412,0.6409,2,-0.0414,104,698,802,1,0.2594,bp,0,1.00E-06,Orig,2.3153
GO:0006139,0.5802,2,-0.0917,235,1929,2164,1,0.2172,bp,0,1.00E-06,Orig,5.175
GO:0019538,0.587,2,-0.1344,441,1723,2164,1,0.4076,bp,0,1.00E-06,Orig,5.1665
GO:0048522,0.6552,2,-0.0577,719,544,1263,1,0.8614,bp,0,1.00E-06,Orig,4.5981
GO:0019222,0.6246,2,-0.0926,461,248,709,1,0.6996,bp,0,1.00E-06,Orig,4.6236
GO:0048523,0.6284,2,-0.058,1179,1275,2454,1,0.9609,bp,0,1.00E-06,Orig,20.5365
GO:0007423,0.685,2,0.1253,65,1016,1081,1,0.1203,bp,0,1.00E-06,Orig,4.6469
GO:0090304,0.5594,2,-0.1996,25,269,294,1,0.1701,bp,0,1.00E-06,Orig,1.1902
GO:0036211,0.6489,2,-0.0982,78,336,414,1,0.3768,bp,0,1.00E-06,Orig,1.4603
GO:0009893,0.637,2,-0.0833,70,65,135,1,0.963,bp,0,1.00E-06,Orig,1.8785
GO:0060255,0.6348,2,-0.0763,209,115,324,1,0.7099,bp,0,1.00E-06,Orig,1.2563
GO:0009892,0.6057,2,-0.1253,65,122,187,1,0.6952,bp,0,1.00E-06,Orig,0.9588
GO:0006259,0.6114,2,-0.0755,7,74,81,1,0.1728,bp,0,1.00E-06,Orig,0.777
GO:0016070,0.5327,2,-0.1961,21,60,81,1,0.5185,bp,0,1.00E-06,Orig,2.7274
GO:0018193,0.6458,2,-0.1382,29,142,171,1,0.3392,bp,0,1.00E-06,Orig,2.5338
GO:0010605,0.5918,2,-0.1184,85,163,248,1,0.6855,bp,0,1.00E-06,Orig,1.081
GO:0043170,0.5125,3,-0.2093,7828,19194,27022,1,0.5794,bp,0,1.00E-06,Orig,248.7632
GO:0044238,0.5237,3,-0.1619,11040,15982,27022,1,0.8171,bp,0,1.00E-06,Orig,408.5712
GO:0048518,0.6718,3,0.0676,7307,8611,15918,1,0.9181,bp,0,1.00E-06,Orig,48.6771
GO:0050794,0.6945,3,-0.0371,14698,1220,15918,1,0.1533,bp,0,1.00E-06,Orig,75.5732
GO:0048519,0.6672,3,-0.0081,6448,9470,15918,1,0.8102,bp,0,1.00E-06,Orig,38.2269
GO:0048513,0.6914,3,-0.0645,1792,3455,5247,1,0.6831,bp,0,1.00E-06,Orig,11.3382
GO:0043412,0.5788,3,-0.1272,126,972,1098,1,0.2295,bp,0,1.00E-06,Orig,9.9258
GO:0006139,0.5137,3,-0.2193,332,2962,3294,1,0.2016,bp,0,1.00E-06,Orig,39.2356
GO:0019538,0.5473,3,-0.1389,172,926,1098,1,0.3133,bp,0,1.00E-06,Orig,6.7926
GO:0048522,0.6784,3,-0.0039,1284,1043,2327,1,0.8964,bp,0,1.00E-06,Orig,24.7022
GO:0019222,0.6374,3,-0.0345,1433,894,2327,1,0.7684,bp,0,1.00E-06,Orig,5.3664
GO:0048523,0.6392,3,-0.0822,2726,4570,7296,1,0.7473,bp,0,1.00E-06,Orig,38.9567
GO:0007423,0.703,3,-0.0099,210,2714,2924,1,0.1436,bp,0,1.00E-06,Orig,6.5579
GO:0090304,0.5261,3,-0.1911,31,313,344,1,0.1802,bp,0,1.00E-06,Orig,1.2778
GO:0036211,0.5937,3,-0.0927,66,473,539,1,0.2449,bp,0,1.00E-06,Orig,1.6665
GO:0009893,0.6594,3,0.0997,356,400,756,1,0.9418,bp,0,1.00E-06,Orig,2.1307
GO:0060255,0.6514,3,-0.1076,438,318,756,1,0.8413,bp,0,1.00E-06,Orig,2.088
GO:0009892,0.6143,3,-0.1328,123,301,424,1,0.5802,bp,0,1.00E-06,Orig,1.4554
GO:0006259,0.5257,3,-0.1946,9,74,83,1,0.2169,bp,0,1.00E-06,Orig,0.9633
GO:0016070,0.5216,3,-0.1895,21,62,83,1,0.506,bp,0,1.00E-06,Orig,0.9584
GO:0018193,0.5585,3,-0.1725,27,169,196,1,0.2755,bp,0,1.00E-06,Orig,1.01
GO:0010605,0.6127,3,-0.0742,164,348,512,1,0.6406,bp,0,1.00E-06,Orig,2.7895
GO:0006139,0.6456,4,-0.0762,332,4108,4440,1,0.1495,bp,0,1.00E-06,Orig,9.7684
GO:0043412,0.7263,4,0.0407,124,1428,1552,1,0.1598,bp,0,1.00E-06,Orig,27.2706
GO:0019538,0.6337,4,0.0295,596,3844,4440,1,0.2685,bp,0,1.00E-06,Orig,10.1634
GO:0048522,0.6285,4,-0.1031,2193,11751,13944,1,0.3145,bp,0,1.00E-06,Orig,94.7789
GO:0019222,0.6566,4,-0.0187,1434,2443,3877,1,0.7397,bp,0,1.00E-06,Orig,23.2658
GO:0048523,0.6112,4,-0.1447,1166,2711,3877,1,0.6015,bp,0,1.00E-06,Orig,33.4478
GO:0007423,0.5243,4,-0.1817,206,14491,14697,1,0.028,bp,0,1.00E-06,Orig,114.4719
GO:0090304,0.618,4,-0.115,31,362,393,1,0.1578,bp,0,1.00E-06,Orig,1.391
GO:0036211,0.6914,4,0.0052,50,406,456,1,0.2193,bp,0,1.00E-06,Orig,3.0304
GO:0009893,0.6123,4,-0.07,121,296,417,1,0.5803,bp,0,1.00E-06,Orig,1.6799
GO:0060255,0.6696,4,-0.0023,435,603,1038,1,0.8382,bp,0,1.00E-06,Orig,2.6651
GO:0009892,0.5879,4,-0.1335,128,466,594,1,0.431,bp,0,1.00E-06,Orig,1.8037
GO:0006259,0.6547,4,-0.0582,8,75,83,1,0.1928,bp,0,1.00E-06,Orig,0.752
GO:0016070,0.5821,4,-0.1351,19,64,83,1,0.4578,bp,0,1.00E-06,Orig,2.7145
GO:0018193,0.7041,4,0.0177,20,142,162,1,0.2469,bp,0,1.00E-06,Orig,0.9405
GO:0010605,0.6046,4,0.0449,164,348,512,1,0.6406,bp,0,1.00E-06,Orig,9.2145
GO:0090304,0.6922,5,-0.0296,97,1707,1804,1,0.1075,bp,0,1.00E-06,Orig,25.1484
GO:0036211,0.7713,5,0.0857,71,501,572,1,0.2483,bp,0,1.00E-06,Orig,2.3602
GO:0009893,0.7132,5,0.109,520,1767,2287,1,0.4547,bp,0,1.00E-06,Orig,6.1814
GO:0060255,0.7342,5,0.0026,706,1581,2287,1,0.6174,bp,0,1.00E-06,Orig,6.1258
GO:0009892,0.6883,5,0.013,354,1933,2287,1,0.3096,bp,0,1.00E-06,Orig,5.4638
GO:0006259,0.6965,5,-0.0594,29,276,305,1,0.1902,bp,0,1.00E-06,Orig,1.2477
GO:0016070,0.6805,5,-0.0255,68,237,305,1,0.4459,bp,0,1.00E-06,Orig,1.2058
GO:0018193,0.7549,5,0.0219,32,164,196,1,0.3265,bp,0,1.00E-06,Orig,0.9883
GO:0010605,0.6672,5,-0.019,219,564,783,1,0.5594,bp,0,1.00E-06,Orig,14.4582
GO:0006259,0.6615,6,-0.0603,1348,6485,7833,1,0.3442,bp,0,1.00E-06,Orig,131.1065
GO:0016070,0.6715,6,-0.0141,2082,5751,7833,1,0.5316,bp,0,1.00E-06,Orig,16.5432
GO:0018193,0.6855,6,0.0813,613,10406,11019,1,0.1113,bp,0,1.00E-06,Orig,22.7877
GO:0010605,0.5949,6,-0.1367,1336,5317,6653,1,0.4016,bp,0,1.00E-06,Orig,50.0799
GO:0008152,0.6282,2,-0.1163,4506,11892,16398,1,0.5496,bp,0,1.00E-06,Orig,35.6967
GO:0050789,0.7464,2,0.0574,4290,3660,7950,1,0.9208,bp,0,1.00E-06,Orig,21.529
GO:0048856,0.6935,2,0.0646,1420,7922,9342,1,0.304,bp,0,1.00E-06,Orig,19.0605
GO:0043170,0.5653,2,-0.191,3216,8251,11467,1,0.5609,bp,0,1.00E-06,Orig,23.5558
GO:0044238,0.6192,2,-0.082,3871,7596,11467,1,0.6752,bp,0,1.00E-06,Orig,24.2898
GO:0048518,0.6274,2,-0.1308,2241,2067,4308,1,0.9596,bp,0,1.00E-06,Orig,57.1777
GO:0050794,0.715,2,-0.0051,4034,274,4308,1,0.1272,bp,0,1.00E-06,Orig,34.1141
GO:0048519,0.6883,2,-0.0624,1990,2318,4308,1,0.9239,bp,0,1.00E-06,Orig,9.8422
GO:0048513,0.7212,2,0.0272,482,928,1410,1,0.6837,bp,0,1.00E-06,Orig,3.5445
GO:0043412,0.6168,2,-0.082,87,624,711,1,0.2447,bp,0,1.00E-06,Orig,2.2867
GO:0006139,0.5526,2,-0.1587,180,1696,1876,1,0.1919,bp,0,1.00E-06,Orig,4.5451
GO:0019538,0.5762,2,-0.1569,385,1491,1876,1,0.4104,bp,0,1.00E-06,Orig,4.5658
GO:0048522,0.6745,2,-0.0365,408,230,638,1,0.721,bp,0,1.00E-06,Orig,3.9646
GO:0019222,0.6446,2,-0.0824,419,219,638,1,0.6865,bp,0,1.00E-06,Orig,2.0719
GO:0048523,0.6418,2,-0.0439,1059,1183,2242,1,0.9447,bp,0,1.00E-06,Orig,27.6363
GO:0007423,0.7863,2,0.1042,55,852,907,1,0.1213,bp,0,1.00E-06,Orig,3.9682
GO:0090304,0.522,2,-0.2507,19,208,227,1,0.1674,bp,0,1.00E-06,Orig,1.053
GO:0036211,0.6276,2,-0.1425,39,263,302,1,0.2583,bp,0,1.00E-06,Orig,1.2389
GO:0009893,0.6636,2,-0.0719,135,123,258,1,0.9535,bp,0,1.00E-06,Orig,1.125
GO:0060255,0.6477,2,-0.0791,167,91,258,1,0.7054,bp,0,1.00E-06,Orig,1.3313
GO:0009892,0.6095,2,-0.1346,50,94,144,1,0.6944,bp,0,1.00E-06,Orig,0.8616
GO:0006259,0.5723,2,-0.1266,7,52,59,1,0.2373,bp,0,1.00E-06,Orig,1.5544
GO:0016070,0.5128,2,-0.2821,13,46,59,1,0.4407,bp,0,1.00E-06,Orig,2.3789
GO:0018193,0.6435,2,-0.1417,19,91,110,1,0.3455,bp,0,1.00E-06,Orig,1.5787
GO:0010605,0.6129,2,-0.1012,62,131,193,1,0.6425,bp,0,1.00E-06,Orig,1.0008
GO:0043170,0.5383,3,-0.2062,7442,19024,26466,1,0.5624,bp,0,1.00E-06,Orig,198.4783
GO:0044238,0.4909,3,-0.1981,10689,15777,26466,1,0.8078,bp,0,1.00E-06,Orig,259.2547
GO:0048518,0.5924,3,-0.0365,7042,8594,15636,1,0.9007,bp,0,1.00E-06,Orig,100.4181
GO:0050794,0.6995,3,-0.0568,14370,1266,15636,1,0.1619,bp,0,1.00E-06,Orig,75.1375
GO:0048519,0.6636,3,-0.0376,6204,9432,15636,1,0.7936,bp,0,1.00E-06,Orig,235.7757
GO:0048513,0.7213,3,-0.0369,1676,3472,5148,1,0.6511,bp,0,1.00E-06,Orig,11.0987
GO:0043412,0.5536,3,-0.1665,113,898,1011,1,0.2235,bp,0,1.00E-06,Orig,8.8236
GO:0006139,0.5258,3,-0.2249,277,2676,2953,1,0.1876,bp,0,1.00E-06,Orig,6.5827
GO:0019538,0.5015,3,-0.1925,159,852,1011,1,0.3145,bp,0,1.00E-06,Orig,4.9201
GO:0048522,0.6558,3,-0.043,1110,962,2072,1,0.9286,bp,0,1.00E-06,Orig,5.518
GO:0019222,0.6216,3,-0.0897,1250,822,2072,1,0.7934,bp,0,1.00E-06,Orig,4.9472
GO:0048523,0.6498,3,-0.0833,2459,4575,7034,1,0.6992,bp,0,1.00E-06,Orig,16.9653
GO:0007423,0.7804,3,0.0694,200,2490,2690,1,0.1487,bp,0,1.00E-06,Orig,7.5837
GO:0090304,0.5899,3,-0.1371,57,954,1011,1,0.1128,bp,0,1.00E-06,Orig,2.841
GO:0036211,0.552,3,-0.1337,64,287,351,1,0.3647,bp,0,1.00E-06,Orig,1.5687
GO:0009893,0.6399,3,-0.0422,140,177,317,1,0.8833,bp,0,1.00E-06,Orig,1.2144
GO:0060255,0.6238,3,-0.1489,368,263,631,1,0.8336,bp,0,1.00E-06,Orig,1.8308
GO:0009892,0.601,3,-0.1691,198,433,631,1,0.6276,bp,0,1.00E-06,Orig,1.8514
GO:0006259,0.6123,3,-0.1232,24,201,225,1,0.2133,bp,0,1.00E-06,Orig,1.6031
GO:0016070,0.5792,3,-0.1476,40,185,225,1,0.3556,bp,0,1.00E-06,Orig,2.2717
GO:0018193,0.5599,3,-0.1842,27,115,142,1,0.3803,bp,0,1.00E-06,Orig,0.9042
GO:0010605,0.5958,3,-0.1031,122,298,420,1,0.581,bp,0,1.00E-06,Orig,1.5649
GO:0006139,0.6383,4,-0.1062,269,3845,4114,1,0.1308,bp,0,1.00E-06,Orig,9.1316
GO:0043412,0.7409,4,0.0519,108,1357,1465,1,0.1474,bp,0,1.00E-06,Orig,9.7351
GO:0019538,0.6707,4,0.0418,519,3595,4114,1,0.2523,bp,0,1.00E-06,Orig,8.9156
GO:0048522,0.6308,4,-0.1255,2001,11633,13634,1,0.2935,bp,0,1.00E-06,Orig,56.1069
GO:0019222,0.5971,4,-0.1041,1244,2307,3551,1,0.7006,bp,0,1.00E-06,Orig,55.0053
GO:0048523,0.6185,4,-0.1397,1030,2521,3551,1,0.5801,bp,0,1.00E-06,Orig,42.0998
GO:0007423,0.6035,4,-0.1166,201,14176,14377,1,0.028,bp,0,1.00E-06,Orig,243.0686
GO:0090304,0.6046,4,-0.1461,20,289,309,1,0.1294,bp,0,1.00E-06,Orig,1.2245
GO:0036211,0.7463,4,0.0523,60,354,414,1,0.2899,bp,0,1.00E-06,Orig,2.3939
GO:0009893,0.6239,4,-0.0749,98,290,388,1,0.5052,bp,0,1.00E-06,Orig,1.543
GO:0060255,0.5998,4,-0.1115,354,563,917,1,0.7721,bp,0,1.00E-06,Orig,2.4419
GO:0009892,0.5912,4,-0.1419,104,387,491,1,0.4236,bp,0,1.00E-06,Orig,1.558
GO:0006259,0.6053,4,-0.1057,10,55,65,1,0.3077,bp,0,1.00E-06,Orig,0.7399
GO:0016070,0.6141,4,-0.1129,14,51,65,1,0.4308,bp,0,1.00E-06,Orig,1.6075
GO:0018193,0.7708,4,0.0851,27,115,142,1,0.3803,bp,0,1.00E-06,Orig,3.9412
GO:0010605,0.5602,4,-0.1219,93,124,217,1,0.8571,bp,0,1.00E-06,Orig,4.9026
GO:0090304,0.7539,5,0.0094,86,1589,1675,1,0.1027,bp,0,1.00E-06,Orig,5.2424
GO:0036211,0.7916,5,0.1026,706,5509,6215,1,0.2272,bp,0,1.00E-06,Orig,12.9976
GO:0009893,0.725,5,0.0961,416,1725,2141,1,0.3886,bp,0,1.00E-06,Orig,5.0828
GO:0060255,0.7412,5,-0.0151,576,1565,2141,1,0.5381,bp,0,1.00E-06,Orig,5.1459
GO:0009892,0.7113,5,0.0101,146,693,839,1,0.348,bp,0,1.00E-06,Orig,4.3639
GO:0006259,0.7355,5,-0.0227,31,246,277,1,0.2238,bp,0,1.00E-06,Orig,1.1641
GO:0016070,0.7609,5,0.0408,59,218,277,1,0.426,bp,0,1.00E-06,Orig,4.5028
GO:0018193,0.732,5,-0.0187,215,1650,1865,1,0.2306,bp,0,1.00E-06,Orig,6.278
GO:0010605,0.6752,5,-0.0188,169,479,648,1,0.5216,bp,0,1.00E-06,Orig,12.4783
GO:0006259,0.7023,6,-0.0422,1244,6189,7433,1,0.3347,bp,0,1.00E-06,Orig,118.861
GO:0016070,0.7767,6,0.0877,1933,5500,7433,1,0.5201,bp,0,1.00E-06,Orig,15.7981
GO:0018193,0.6822,6,0.0533,585,10099,10684,1,0.1095,bp,0,1.00E-06,Orig,22.321
GO:0010605,0.6125,6,-0.1438,1226,5049,6275,1,0.3908,bp,0,1.00E-06,Orig,55.6012
GO:0008152,0.6224,2,-0.1048,4928,11966,16894,1,0.5834,bp,0,1.00E-06,Orig,57.3608
GO:0050789,0.7188,2,0.0205,4528,3470,7998,1,0.8677,bp,0,1.00E-06,Orig,24.5147
GO:0048856,0.7006,2,0.0981,1576,7996,9572,1,0.3293,bp,0,1.00E-06,Orig,32.6557
GO:0043170,0.5492,2,-0.1881,3448,8777,12225,1,0.5641,bp,0,1.00E-06,Orig,25.3724
GO:0044238,0.608,2,-0.0805,4200,8025,12225,1,0.6871,bp,0,1.00E-06,Orig,25.0894
GO:0048518,0.6546,2,-0.0711,2483,2035,4518,1,0.9008,bp,0,1.00E-06,Orig,37.7559
GO:0050794,0.6728,2,-0.0241,4229,289,4518,1,0.1279,bp,0,1.00E-06,Orig,55.7247
GO:0048519,0.6703,2,-0.0615,2118,2400,4518,1,0.9376,bp,0,1.00E-06,Orig,10.09
GO:0048513,0.7557,2,0.0793,604,964,1568,1,0.7704,bp,0,1.00E-06,Orig,3.5941
GO:0043412,0.6057,2,-0.0698,106,727,833,1,0.2545,bp,0,1.00E-06,Orig,2.4498
GO:0006139,0.5319,2,-0.1189,243,1953,2196,1,0.2213,bp,0,1.00E-06,Orig,5.138
GO:0019538,0.5657,2,-0.1325,149,684,833,1,0.3577,bp,0,1.00E-06,Orig,2.4551
GO:0048522,0.639,2,-0.0692,458,246,704,1,0.6989,bp,0,1.00E-06,Orig,1.8893
GO:0019222,0.6071,2,-0.1147,470,234,704,1,0.6648,bp,0,1.00E-06,Orig,1.868
GO:0048523,0.6342,2,-0.0582,412,292,704,1,0.8295,bp,0,1.00E-06,Orig,5.5847
GO:0007423,0.755,2,0.1383,61,992,1053,1,0.1159,bp,0,1.00E-06,Orig,4.1305
GO:0090304,0.5002,2,-0.2624,59,774,833,1,0.1417,bp,0,1.00E-06,Orig,2.4161
GO:0036211,0.5977,2,-0.1485,76,354,430,1,0.3535,bp,0,1.00E-06,Orig,1.4342
GO:0009893,0.6195,2,-0.1155,82,99,181,1,0.9061,bp,0,1.00E-06,Orig,0.9477
GO:0060255,0.6121,2,-0.0934,214,103,317,1,0.6498,bp,0,1.00E-06,Orig,1.268
GO:0009892,0.5933,2,-0.1501,123,194,317,1,0.776,bp,0,1.00E-06,Orig,1.2365
GO:0006259,0.5642,2,-0.1334,13,197,210,1,0.1238,bp,0,1.00E-06,Orig,4.8726
GO:0016070,0.4675,2,-0.3236,43,167,210,1,0.4095,bp,0,1.00E-06,Orig,2.4087
GO:0018193,0.6021,2,-0.1767,35,133,168,1,0.4167,bp,0,1.00E-06,Orig,3.4627
GO:0010605,0.5897,2,-0.1058,80,160,240,1,0.6667,bp,0,1.00E-06,Orig,4.4761
GO:0043170,0.5305,3,-0.1967,7724,19677,27401,1,0.5638,bp,0,1.00E-06,Orig,201.3977
GO:0044238,0.5102,3,-0.1881,11249,16152,27401,1,0.8211,bp,0,1.00E-06,Orig,257.7052
GO:0048518,0.5864,3,-0.0161,7521,8569,16090,1,0.9349,bp,0,1.00E-06,Orig,97.5097
GO:0050794,0.6902,3,-0.0471,14869,1221,16090,1,0.1518,bp,0,1.00E-06,Orig,70.8028
GO:0048519,0.6765,3,-0.012,6452,9638,16090,1,0.802,bp,0,1.00E-06,Orig,55.0094
GO:0048513,0.7265,3,0.0008,1820,3394,5214,1,0.6981,bp,0,1.00E-06,Orig,11.2989
GO:0043412,0.5182,3,-0.1787,123,1035,1158,1,0.2124,bp,0,1.00E-06,Orig,4.8428
GO:0006139,0.5439,3,-0.1879,337,3026,3363,1,0.2004,bp,0,1.00E-06,Orig,9.5681
GO:0019538,0.5424,3,-0.134,176,982,1158,1,0.304,bp,0,1.00E-06,Orig,9.2029
GO:0048522,0.5927,3,-0.0828,2245,2322,4567,1,0.9831,bp,0,1.00E-06,Orig,9.6319
GO:0019222,0.623,3,-0.0278,1441,860,2301,1,0.7475,bp,0,1.00E-06,Orig,13.2528
GO:0048523,0.6496,3,-0.0486,1206,1095,2301,1,0.9518,bp,0,1.00E-06,Orig,6.8552
GO:0007423,0.6943,3,-0.0139,200,2660,2860,1,0.1399,bp,0,1.00E-06,Orig,7.4614
GO:0090304,0.5613,3,-0.1605,27,327,354,1,0.1525,bp,0,1.00E-06,Orig,1.3431
GO:0036211,0.621,3,-0.0714,73,487,560,1,0.2607,bp,0,1.00E-06,Orig,10.6687
GO:0009893,0.6389,3,0.0222,378,377,755,1,0.9987,bp,0,1.00E-06,Orig,2.2736
GO:0060255,0.6297,3,-0.1329,449,306,755,1,0.8106,bp,0,1.00E-06,Orig,2.0703
GO:0009892,0.6139,3,-0.1323,254,501,755,1,0.6728,bp,0,1.00E-06,Orig,2.0714
GO:0006259,0.5549,3,-0.1801,9,72,81,1,0.2222,bp,0,1.00E-06,Orig,0.7456
GO:0016070,0.5605,3,-0.145,21,60,81,1,0.5185,bp,0,1.00E-06,Orig,0.9443
GO:0018193,0.6165,3,-0.1269,33,176,209,1,0.3158,bp,0,1.00E-06,Orig,1.0094
GO:0010605,0.6016,3,-0.096,174,339,513,1,0.6784,bp,0,1.00E-06,Orig,6.2868
GO:0006139,0.6123,4,-0.1149,338,4162,4500,1,0.1502,bp,0,1.00E-06,Orig,9.9167
GO:0043412,0.6668,4,-0.0315,126,1490,1616,1,0.1559,bp,0,1.00E-06,Orig,4.0331
GO:0019538,0.6081,4,0.0056,178,1438,1616,1,0.2203,bp,0,1.00E-06,Orig,13.4128
GO:0048522,0.6512,4,-0.0861,1273,2579,3852,1,0.661,bp,0,1.00E-06,Orig,52.3764
GO:0019222,0.6728,4,-0.0157,1442,2410,3852,1,0.7487,bp,0,1.00E-06,Orig,33.6779
GO:0048523,0.6271,4,-0.0986,2751,4773,7524,1,0.7313,bp,0,1.00E-06,Orig,66.6625
