GO_Term,AUROC,From_Level,AUROC_difference,Ones,Zeros,Size,TL,Balance,Ontology,Frozen,LR,Data,Time
GO:0090304,0.7164,2,-0.0426,4539,4579,9118,1,0.9956,bp,0,0.0001,Aug,74.1155
GO:0036211,0.7891,2,0.042,4668,4665,9333,1,0.9997,bp,0,0.0001,Aug,66.5717
GO:0009893,0.6321,2,-0.0882,4011,3993,8004,1,0.9978,bp,0,0.0001,Aug,22.8019
GO:0060255,0.6807,2,-0.0304,7185,7179,14364,1,0.9996,bp,0,0.0001,Aug,150.4655
GO:0009892,0.6328,2,-0.0982,4658,4657,9315,1,0.9999,bp,0,0.0001,Aug,48.1696
GO:0006259,0.7072,2,0.0203,2726,2738,5464,1,0.9978,bp,0,0.0001,Aug,66.7605
GO:0016070,0.6807,2,-0.0481,2944,2918,5862,1,0.9956,bp,0,0.0001,Aug,86.1338
GO:0018193,0.67,2,-0.114,3565,3573,7138,1,0.9989,bp,0,0.0001,Aug,63.5226
GO:0010605,0.6119,2,-0.0983,4131,4152,8283,1,0.9975,bp,0,0.0001,Aug,42.4657
GO:0043170,0.635,3,-0.0868,7856,7811,15667,1,0.9971,bp,0,0.0001,Aug,111.9258
GO:0044238,0.6157,3,-0.0699,11041,10998,22039,1,0.998,bp,0,0.0001,Aug,313.3744
GO:0048518,0.6765,3,0.0723,8646,8598,17244,1,0.9972,bp,0,0.0001,Aug,128.8239
GO:0050794,0.6368,3,-0.0948,14697,14698,29395,1,1,bp,0,0.0001,Aug,229.836
GO:0048519,0.6329,3,-0.0424,9492,9501,18993,1,0.9995,bp,0,0.0001,Aug,149.4782
GO:0048513,0.7305,3,-0.0254,3449,3436,6885,1,0.9981,bp,0,0.0001,Aug,40.4006
GO:0043412,0.7092,3,0.0032,4845,4849,9694,1,0.9996,bp,0,0.0001,Aug,27.0071
GO:0006139,0.6866,3,-0.0464,6826,6830,13656,1,0.9997,bp,0,0.0001,Aug,134.7101
GO:0019538,0.6736,3,-0.0126,3994,3987,7981,1,0.9991,bp,0,0.0001,Aug,69.1195
GO:0048522,0.6353,3,-0.047,8034,8054,16088,1,0.9988,bp,0,0.0001,Aug,98.7968
GO:0019222,0.6655,3,-0.0064,7960,7934,15894,1,0.9984,bp,0,0.0001,Aug,81.4067
GO:0048523,0.6038,3,-0.1176,8759,8713,17472,1,0.9974,bp,0,0.0001,Aug,90.4146
GO:0007423,0.7203,3,0.0074,2912,2921,5833,1,0.9985,bp,0,0.0001,Aug,30.4322
GO:0090304,0.7248,3,0.0076,4539,4579,9118,1,0.9956,bp,0,0.0001,Aug,69.2467
GO:0036211,0.7059,3,0.0195,4329,4275,8604,1,0.9937,bp,0,0.0001,Aug,53.0911
GO:0009893,0.6626,3,0.1029,4011,3993,8004,1,0.9978,bp,0,0.0001,Aug,38.7195
GO:0060255,0.6913,3,-0.0677,7185,7179,14364,1,0.9996,bp,0,0.0001,Aug,107.363
GO:0009892,0.6388,3,-0.1083,4658,4657,9315,1,0.9999,bp,0,0.0001,Aug,29.033
GO:0006259,0.6341,3,-0.0862,2651,2691,5342,1,0.9925,bp,0,0.0001,Aug,11.6477
GO:0016070,0.6766,3,-0.0345,2891,2870,5761,1,0.9964,bp,0,0.0001,Aug,22.271
GO:0018193,0.6441,3,-0.0869,3333,3346,6679,1,0.9981,bp,0,0.0001,Aug,14.3035
GO:0010605,0.6149,3,-0.072,4131,4152,8283,1,0.9975,bp,0,0.0001,Aug,20.4345
GO:0043412,0.744,4,0.0222,4845,4849,9694,1,0.9996,bp,0,0.0001,Aug,74.159
GO:0006139,0.7022,4,0.0166,6826,6830,13656,1,0.9997,bp,0,0.0001,Aug,170.9816
GO:0019538,0.6499,4,0.0457,3994,3987,7981,1,0.9991,bp,0,0.0001,Aug,40.5186
GO:0048522,0.6859,4,-0.0457,8034,8054,16088,1,0.9988,bp,0,0.0001,Aug,43.9183
GO:0019222,0.6709,4,-0.0044,7960,7934,15894,1,0.9984,bp,0,0.0001,Aug,92.0285
GO:0048523,0.6434,4,-0.1125,8759,8713,17472,1,0.9974,bp,0,0.0001,Aug,83.9756
GO:0007423,0.6872,4,-0.0188,1508,1559,3067,1,0.9834,bp,0,0.0001,Aug,6.9139
GO:0090304,0.7398,4,0.0068,4539,4579,9118,1,0.9956,bp,0,0.0001,Aug,114.5222
GO:0036211,0.7603,4,0.0741,2667,2621,5288,1,0.9913,bp,0,0.0001,Aug,28.7284
GO:0009893,0.6673,4,-0.015,4771,4796,9567,1,0.9974,bp,0,0.0001,Aug,97.7792
GO:0060255,0.6935,4,0.0216,7185,7179,14364,1,0.9996,bp,0,0.0001,Aug,108.8141
GO:0009892,0.6409,4,-0.0805,4658,4657,9315,1,0.9999,bp,0,0.0001,Aug,61.526
GO:0006259,0.7171,4,0.0042,2691,2698,5389,1,0.9987,bp,0,0.0001,Aug,39.5543
GO:0016070,0.7287,4,0.0115,2899,2893,5792,1,0.999,bp,0,0.0001,Aug,92.2629
GO:0018193,0.7033,4,0.0169,2028,2031,4059,1,0.9993,bp,0,0.0001,Aug,12.8124
GO:0010605,0.6438,4,0.0841,4131,4152,8283,1,0.9975,bp,0,0.0001,Aug,47.0754
GO:0036211,0.766,5,0.0442,2667,2621,5288,1,0.9913,bp,0,0.0001,Aug,21.7426
GO:0090304,0.7073,5,0.0217,3285,3263,6548,1,0.9966,bp,0,0.0001,Aug,22.2171
GO:0009893,0.6435,5,0.0393,4011,3993,8004,1,0.9978,bp,0,0.0001,Aug,37.6777
GO:0060255,0.6778,5,-0.0538,7185,7179,14364,1,0.9996,bp,0,0.0001,Aug,235.5421
GO:0009892,0.6395,5,-0.0358,4658,4657,9315,1,0.9999,bp,0,0.0001,Aug,61.2721
